Employee_ID,Department,Gender,Age,Education_Level,Job_Role,Monthly_Income,Years_At_Company,Years_In_Current_Role,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Training_Hours_Last_Year,Last_Promotion_Years_Ago,Distance_From_Home,Overtime,Attrition,Marital_Status,Number_Of_Companies_Worked,Stock_Option_Level
1056,HR,Prefer not to say,46,Master's Degree,Team Lead,6646.0,32,9,4,5,1,53,2,7,No,No,Widowed,8,2
1057,Sales,Prefer not to say,41,High School,Team Lead,8141.0,29,1,4,4,1,82,1,37,No,Yes,Divorced,5,3
1058,IT,Non-binary,39,PhD,Analyst,3895.0,11,3,5,4,3,69,3,7,No,Yes,Married,3,1
1059,Sales,Male,39,Associate's Degree,Team Lead,9319.0,9,13,5,2,1,13,10,18,No,Yes,Divorced,4,3
1060,IT,Prefer not to say,20,Associate's Degree,Intern,1421.0,0,0,5,1,4,0,0,48,No,Yes,Single,1,0
1061,IT,Male,31,PhD,Executive,2499.0,15,13,1,3,1,76,0,39,No,No,Single,7,2
1062,Sales,Non-binary,33,Master's Degree,Manager,10260.0,39,12,1,2,1,25,4,21,No,No,Divorced,9,1
1063,Marketing,Prefer not to say,18,Associate's Degree,Intern,1145.0,0,0,4,3,4,0,0,34,Yes,Yes,Single,1,0
1064,IT,Non-binary,20,Bachelor's Degree,Intern,1392.0,0,0,5,2,2,0,0,49,No,No,Single,1,0
1065,IT,Non-binary,21,Bachelor's Degree,Intern,1213.0,0,0,3,2,1,0,0,27,No,No,Single,1,0
1066,Sales,Male,21,High School,Intern,1439.0,0,0,4,1,4,0,0,8,No,No,Single,1,0
1067,IT,Prefer not to say,59,PhD,Manager,9502.0,35,4,5,4,5,45,3,34,Yes,Yes,Widowed,4,0
1068,IT,Non-binary,47,PhD,Analyst,4470.0,29,8,3,5,4,54,7,18,Yes,Yes,Single,6,0
1069,Sales,Prefer not to say,35,Associate's Degree,Team Lead,5842.0,34,19,5,2,3,93,13,41,Yes,Yes,Widowed,1,0
1070,Sales,Male,18,Master's Degree,Intern,1127.0,0,0,2,1,5,0,0,12,No,No,Single,1,0
1071,HR,Non-binary,59,PhD,Team Lead,8414.0,17,11,3,3,2,73,1,22,Yes,No,Single,7,2
1072,Marketing,Male,22,Associate's Degree,Team Lead,8428.0,18,17,2,4,2,91,14,40,No,No,Married,6,3
1073,Marketing,Prefer not to say,23,Associate's Degree,Intern,1293.0,0,0,1,2,4,0,0,22,No,Yes,Single,1,0
1074,IT,Prefer not to say,43,PhD,Analyst,2578.0,3,4,4,3,4,77,2,8,Yes,Yes,Single,7,3
1075,Marketing,Male,44,Associate's Degree,Team Lead,8510.0,5,19,5,2,1,11,13,42,No,Yes,Widowed,2,2
1076,IT,Female,40,High School,Executive,3211.0,32,13,4,5,1,53,12,28,Yes,Yes,Widowed,4,2
1077,HR,Non-binary,39,High School,Team Lead,7303.0,31,15,5,5,3,63,2,47,Yes,No,Widowed,5,2
1078,Sales,Prefer not to say,19,PhD,Intern,1148.0,0,0,2,4,1,0,0,32,Yes,No,Single,1,0
1079,Sales,Prefer not to say,49,Master's Degree,Manager,11637.0,10,8,3,3,4,36,12,11,Yes,Yes,Married,6,1
1080,Sales,Non-binary,49,High School,Team Lead,6505.0,21,16,3,5,4,73,14,21,No,Yes,Divorced,6,0
1081,Marketing,Male,54,High School,Analyst,4450.0,35,6,5,1,1,40,13,26,Yes,No,Divorced,5,2
1082,HR,Male,40,PhD,Executive,4541.0,22,9,2,4,3,26,10,14,Yes,No,Single,5,1
1083,Marketing,Male,49,Bachelor's Degree,Executive,3746.0,25,3,5,2,4,41,2,15,No,Yes,Divorced,1,2
1084,Marketing,Female,58,Associate's Degree,Manager,7368.0,30,9,5,3,3,75,7,14,No,Yes,Married,4,1
1085,HR,Female,47,High School,Manager,11774.0,28,2,5,3,4,85,5,12,Yes,Yes,Divorced,9,2
1086,HR,Prefer not to say,56,Bachelor's Degree,Team Lead,7742.0,4,8,3,1,3,67,14,36,Yes,No,Widowed,2,1
1087,HR,Male,23,Master's Degree,Intern,1326.0,0,0,5,5,3,0,0,3,Yes,No,Single,1,0
1088,HR,Non-binary,56,Bachelor's Degree,Analyst,3257.0,24,0,3,3,3,35,9,44,Yes,No,Single,2,0
1089,Sales,Prefer not to say,59,PhD,Executive,4539.0,33,14,1,1,1,56,11,7,No,No,Single,9,0
1090,Finance,Non-binary,37,Master's Degree,Manager,9433.0,11,14,2,1,2,77,14,39,Yes,No,Widowed,5,3
1091,Finance,Prefer not to say,59,Master's Degree,Analyst,4972.0,21,10,1,2,3,11,8,46,No,Yes,Divorced,9,0
1092,HR,Female,18,Bachelor's Degree,Intern,1139.0,0,0,5,1,3,0,0,1,No,Yes,Single,1,0
1093,Finance,Prefer not to say,44,PhD,Executive,2945.0,19,6,3,4,4,19,6,39,No,Yes,Single,9,0
1094,Finance,Female,43,High School,Executive,4578.0,28,0,2,3,2,44,5,25,Yes,Yes,Married,2,0
1095,HR,Prefer not to say,20,Bachelor's Degree,Intern,1291.0,0,0,4,4,4,0,0,31,Yes,Yes,Single,1,0
1096,Finance,Male,49,High School,Executive,3335.0,26,4,2,1,4,61,4,22,No,No,Married,8,1
1097,Marketing,Non-binary,22,Bachelor's Degree,Intern,1121.0,0,0,2,1,3,0,0,10,Yes,Yes,Single,1,0
1098,IT,Male,29,High School,Executive,4988.0,4,7,5,4,5,33,8,18,No,Yes,Single,1,1
1099,IT,Prefer not to say,43,Bachelor's Degree,Team Lead,8274.0,12,1,1,2,2,20,12,13,No,Yes,Married,2,3
1100,HR,Prefer not to say,19,Master's Degree,Intern,1010.0,0,0,1,1,4,0,0,8,Yes,No,Single,1,0
1101,Sales,Prefer not to say,47,Associate's Degree,Analyst,4160.0,14,13,4,4,5,8,5,9,Yes,Yes,Widowed,9,1
1102,HR,Female,59,Master's Degree,Team Lead,7608.0,17,3,5,4,5,73,11,15,No,No,Married,5,1
1103,Sales,Non-binary,42,High School,Analyst,3524.0,1,14,2,3,4,9,10,8,No,Yes,Married,1,0
1104,IT,Non-binary,46,PhD,Executive,4391.0,22,6,1,2,3,51,3,33,No,Yes,Divorced,1,1
1105,HR,Prefer not to say,59,Master's Degree,Analyst,2357.0,12,19,1,5,1,44,3,35,Yes,No,Married,2,2
1106,Marketing,Prefer not to say,22,Associate's Degree,Team Lead,7374.0,3,7,3,4,4,51,11,19,Yes,Yes,Single,1,1
1107,Finance,Female,22,High School,Intern,1383.0,0,0,2,3,3,0,0,30,Yes,Yes,Single,1,0
1108,Sales,Male,44,Master's Degree,Manager,11778.0,10,1,5,5,2,63,10,9,No,No,Widowed,2,3
1109,Finance,Male,44,Bachelor's Degree,Analyst,2125.0,11,8,1,3,3,96,5,19,Yes,Yes,Single,8,1
1110,Finance,Non-binary,59,PhD,Manager,7395.0,12,5,5,3,5,1,0,47,No,No,Married,5,1
1111,HR,Female,59,High School,Analyst,3743.0,8,0,2,2,2,48,8,46,No,No,Divorced,1,2
1112,Finance,Prefer not to say,44,Master's Degree,Analyst,4129.0,37,2,2,1,2,95,13,26,Yes,No,Widowed,4,0
1113,Marketing,Non-binary,24,High School,Intern,1450.0,0,0,1,2,1,0,0,1,No,No,Single,1,0
1114,Finance,Female,51,Bachelor's Degree,Executive,2251.0,9,4,4,5,1,16,1,3,No,No,Widowed,6,3
1115,HR,Male,34,Associate's Degree,Team Lead,8935.0,22,11,5,2,4,27,4,34,No,Yes,Divorced,5,2
1116,Marketing,Female,59,Master's Degree,Team Lead,6383.0,14,0,5,1,3,44,11,25,Yes,Yes,Widowed,9,0
1117,IT,Male,39,High School,Team Lead,8620.0,22,8,3,2,4,16,11,30,No,Yes,Divorced,3,1
1118,Finance,Female,44,High School,Executive,3576.0,39,12,2,2,1,58,10,1,No,No,Married,5,0
1119,HR,Non-binary,36,High School,Manager,7539.0,36,18,2,2,5,13,3,18,Yes,Yes,Married,7,0
1120,IT,Male,54,Associate's Degree,Team Lead,7950.0,33,6,1,4,1,9,2,33,No,No,Single,9,2
1121,IT,Non-binary,42,High School,Manager,9667.0,15,15,1,4,3,97,4,9,Yes,Yes,Single,3,0
1122,Sales,Non-binary,59,PhD,Executive,2381.0,31,7,1,2,5,77,6,7,Yes,No,Divorced,4,0
1123,Marketing,Male,44,PhD,Executive,3804.0,37,18,3,1,4,80,9,30,No,No,Divorced,1,2
1124,Finance,Male,22,High School,Intern,1282.0,0,0,4,1,4,0,0,13,No,Yes,Single,1,0
1125,HR,Prefer not to say,39,PhD,Team Lead,8978.0,4,3,1,1,1,17,12,17,Yes,Yes,Single,3,0
1126,Sales,Prefer not to say,19,Master's Degree,Intern,1251.0,0,0,1,1,1,0,0,13,No,Yes,Single,1,0
1127,Marketing,Prefer not to say,59,PhD,Team Lead,7270.0,21,0,1,3,4,47,5,13,No,No,Widowed,7,2
1128,Sales,Non-binary,59,High School,Executive,3987.0,38,16,3,2,4,57,3,42,No,Yes,Divorced,1,2
1129,Marketing,Non-binary,28,Bachelor's Degree,Executive,2716.0,17,12,5,2,2,17,1,38,No,No,Single,9,2
1130,Marketing,Prefer not to say,41,Master's Degree,Analyst,3122.0,27,18,4,3,3,51,0,37,Yes,Yes,Divorced,3,0
1131,Finance,Non-binary,48,Associate's Degree,Analyst,4499.0,12,12,5,1,2,29,7,10,Yes,No,Married,3,3
1132,Marketing,Non-binary,27,High School,Executive,4642.0,0,8,2,5,2,36,4,14,No,No,Divorced,2,3
1133,Sales,Male,48,Associate's Degree,Executive,2023.0,18,4,2,5,4,39,9,43,Yes,Yes,Married,3,1
1134,Marketing,Male,30,Bachelor's Degree,Manager,8170.0,33,0,1,3,3,5,1,5,Yes,Yes,Married,6,2
1135,Finance,Non-binary,52,Associate's Degree,Manager,8307.0,3,1,5,5,4,78,7,36,Yes,Yes,Widowed,4,3
1136,Finance,Prefer not to say,20,High School,Intern,1446.0,0,0,3,4,2,0,0,35,No,No,Single,1,0
1137,Sales,Female,47,High School,Analyst,2352.0,9,3,4,2,2,25,6,46,Yes,No,Married,8,3
1138,IT,Prefer not to say,59,Bachelor's Degree,Analyst,4120.0,27,8,5,5,4,90,1,45,Yes,Yes,Widowed,1,2
1139,IT,Female,34,High School,Executive,2694.0,33,4,5,4,1,29,12,23,Yes,Yes,Single,8,0
1140,Marketing,Prefer not to say,44,Bachelor's Degree,Executive,2514.0,38,4,4,2,1,74,6,5,Yes,Yes,Single,2,1
1141,HR,Male,23,Bachelor's Degree,Intern,1454.0,0,0,5,4,4,0,0,44,Yes,No,Single,1,0
1142,Marketing,Non-binary,58,High School,Analyst,2770.0,35,1,5,2,5,54,3,28,No,No,Married,4,0
1143,Sales,Non-binary,49,PhD,Manager,10675.0,2,6,4,2,5,77,9,23,No,Yes,Divorced,4,2
1144,Sales,Male,38,Bachelor's Degree,Team Lead,7043.0,22,16,3,5,1,86,0,42,Yes,Yes,Married,7,3
1145,Sales,Female,24,High School,Intern,1193.0,0,0,4,3,3,0,0,34,No,No,Single,1,0
1146,Sales,Female,59,PhD,Team Lead,6532.0,6,14,1,5,2,61,11,31,Yes,No,Divorced,3,1
1147,Sales,Female,23,Bachelor's Degree,Manager,8530.0,25,2,1,1,3,17,13,7,No,Yes,Divorced,4,2
1148,Finance,Male,46,PhD,Manager,8497.0,17,12,1,4,1,50,11,7,No,Yes,Divorced,3,3
1149,IT,Female,59,Master's Degree,Team Lead,5506.0,5,17,1,1,4,18,12,4,No,Yes,Divorced,8,1
1150,Sales,Male,21,Master's Degree,Intern,1329.0,0,0,2,2,5,0,0,44,No,No,Single,1,0
1151,HR,Prefer not to say,32,PhD,Team Lead,6822.0,28,19,3,5,1,81,3,32,No,Yes,Married,5,1
1152,HR,Prefer not to say,20,Bachelor's Degree,Intern,1194.0,0,0,2,1,3,0,0,28,No,No,Single,1,0
1153,HR,Male,23,High School,Intern,1080.0,0,0,5,1,3,0,0,4,No,Yes,Single,1,0
1154,HR,Non-binary,32,Associate's Degree,Executive,3053.0,16,4,5,1,1,12,1,39,Yes,Yes,Single,3,2
1155,Finance,Prefer not to say,35,High School,Analyst,2657.0,11,19,4,2,2,48,4,45,Yes,Yes,Married,6,2
1156,HR,Female,23,Associate's Degree,Analyst,3473.0,35,4,1,2,3,72,9,8,Yes,Yes,Single,4,3
1157,Sales,Male,59,Associate's Degree,Manager,10813.0,23,12,4,2,2,89,9,14,Yes,Yes,Married,7,2
1158,Marketing,Female,24,Bachelor's Degree,Executive,4986.0,9,7,5,1,2,52,11,30,Yes,Yes,Single,6,0
1159,HR,Female,56,PhD,Analyst,3480.0,29,15,1,4,4,0,12,3,No,No,Widowed,7,2
1160,Finance,Non-binary,21,High School,Intern,1106.0,0,0,3,5,1,0,0,2,No,No,Single,1,0
1161,Finance,Female,21,PhD,Intern,1320.0,0,0,5,5,1,0,0,10,No,Yes,Single,1,0
1162,HR,Non-binary,40,Master's Degree,Team Lead,5874.0,9,0,4,2,2,0,0,6,Yes,No,Widowed,7,2
1163,Marketing,Prefer not to say,39,Bachelor's Degree,Team Lead,7315.0,38,7,4,1,4,67,5,7,No,No,Single,8,2
1164,HR,Male,19,Bachelor's Degree,Intern,1417.0,0,0,5,4,3,0,0,16,No,No,Single,1,0
1165,Finance,Female,19,Master's Degree,Intern,1460.0,0,0,2,3,3,0,0,6,Yes,No,Single,1,0
1166,IT,Male,22,High School,Team Lead,9288.0,16,14,3,2,1,68,12,16,Yes,Yes,Widowed,5,0
1167,Sales,Female,57,Master's Degree,Analyst,4881.0,10,13,5,3,2,38,11,27,No,Yes,Married,3,2
1168,Finance,Male,46,High School,Manager,9757.0,0,2,5,5,4,31,9,12,No,Yes,Married,5,0
1169,HR,Female,59,Associate's Degree,Team Lead,7807.0,16,6,4,5,4,48,3,22,No,Yes,Divorced,2,2
1170,Sales,Female,55,Bachelor's Degree,Analyst,3747.0,35,3,1,4,3,30,14,15,No,Yes,Married,3,0
1171,HR,Female,46,High School,Analyst,3050.0,35,10,1,4,3,78,4,22,Yes,No,Married,7,2
1172,HR,Female,37,PhD,Analyst,3379.0,8,11,1,3,5,2,2,35,Yes,No,Married,8,2
1173,IT,Female,55,PhD,Executive,2621.0,27,14,4,5,5,46,14,48,Yes,Yes,Divorced,5,2
1174,Sales,Female,50,Bachelor's Degree,Executive,2018.0,32,5,1,4,2,14,9,15,No,Yes,Married,3,0
1175,Sales,Female,40,Master's Degree,Analyst,4575.0,2,0,5,4,5,50,5,23,No,Yes,Single,4,1
1176,IT,Female,18,Master's Degree,Intern,1205.0,0,0,2,5,4,0,0,38,Yes,Yes,Single,1,0
1177,Finance,Female,40,High School,Executive,2793.0,5,13,2,5,5,84,12,49,No,No,Single,3,3
1178,HR,Male,46,Master's Degree,Team Lead,7117.0,5,6,2,1,1,73,5,2,No,No,Divorced,9,0
1179,Marketing,Non-binary,37,Bachelor's Degree,Executive,3169.0,28,9,1,4,1,20,12,2,Yes,No,Divorced,4,2
1180,HR,Female,23,High School,Intern,1208.0,0,0,2,3,3,0,0,49,Yes,No,Single,1,0
1181,HR,Non-binary,22,Associate's Degree,Manager,11671.0,11,1,1,2,3,40,10,19,No,Yes,Divorced,3,0
1182,Finance,Female,59,Master's Degree,Executive,3902.0,8,7,5,2,2,2,1,5,Yes,Yes,Divorced,8,0
1183,HR,Female,40,Master's Degree,Analyst,2541.0,18,0,5,5,1,0,3,4,No,Yes,Widowed,4,3
1184,IT,Male,54,High School,Analyst,2616.0,16,19,4,3,2,20,1,28,No,No,Married,8,3
1185,IT,Prefer not to say,55,PhD,Analyst,3940.0,31,1,4,1,2,74,4,18,No,Yes,Single,2,1
1186,Sales,Prefer not to say,37,Master's Degree,Manager,9906.0,34,6,3,4,5,79,2,40,No,Yes,Single,9,2
1187,Marketing,Male,24,Bachelor's Degree,Intern,1126.0,0,0,5,1,3,0,0,41,No,Yes,Single,1,0
1188,HR,Non-binary,39,Master's Degree,Team Lead,9605.0,15,3,1,3,2,20,14,31,No,No,Divorced,3,3
1189,HR,Prefer not to say,22,Associate's Degree,Intern,1033.0,0,0,3,1,2,0,0,22,Yes,Yes,Single,1,0
1190,Finance,Male,46,Master's Degree,Manager,7884.0,11,3,5,5,3,94,4,11,Yes,No,Divorced,5,1
1191,IT,Male,27,PhD,Analyst,3206.0,23,2,1,2,3,48,1,48,No,No,Widowed,3,0
1192,Marketing,Prefer not to say,22,Master's Degree,Intern,1063.0,0,0,5,5,1,0,0,16,No,No,Single,1,0
1193,Sales,Non-binary,27,High School,Team Lead,9555.0,7,14,5,4,3,40,9,4,No,Yes,Single,7,0
1194,IT,Male,53,Master's Degree,Analyst,2164.0,20,19,1,5,5,95,10,21,Yes,Yes,Widowed,1,2
1195,Sales,Female,59,PhD,Team Lead,6661.0,7,2,5,3,1,66,7,41,No,Yes,Widowed,6,2
1196,Finance,Non-binary,59,High School,Executive,4856.0,27,11,5,3,2,95,5,45,Yes,No,Divorced,2,3
1197,Finance,Non-binary,59,Bachelor's Degree,Team Lead,9553.0,15,14,5,4,5,41,8,25,Yes,No,Married,8,1
1198,HR,Prefer not to say,52,High School,Analyst,4911.0,9,19,4,4,5,68,2,20,No,Yes,Divorced,8,2
1199,Marketing,Prefer not to say,59,Associate's Degree,Executive,3237.0,14,7,2,2,1,56,13,8,Yes,No,Divorced,7,2
1200,Sales,Female,31,High School,Analyst,3211.0,3,11,5,1,2,42,10,43,Yes,No,Single,8,1
1201,IT,Male,51,Bachelor's Degree,Analyst,3481.0,25,12,1,2,1,11,3,9,Yes,Yes,Divorced,1,3
1202,Finance,Prefer not to say,39,Master's Degree,Executive,3495.0,14,14,5,5,4,77,10,18,No,Yes,Married,8,2
1203,HR,Prefer not to say,45,High School,Team Lead,9662.0,35,10,4,1,4,63,7,31,Yes,No,Divorced,1,1
1204,HR,Non-binary,30,High School,Manager,12000.0,31,16,4,4,1,50,6,35,No,Yes,Single,3,2
1205,Sales,Prefer not to say,52,High School,Manager,7502.0,37,11,5,3,2,72,7,30,Yes,Yes,Married,4,2
1206,Finance,Prefer not to say,36,High School,Manager,9984.0,3,19,3,5,2,59,8,18,Yes,No,Married,3,3
1207,Marketing,Prefer not to say,25,Bachelor's Degree,Manager,11145.0,8,17,2,2,3,70,13,19,Yes,No,Single,2,0
1208,Finance,Prefer not to say,22,PhD,Intern,1016.0,0,0,1,4,5,0,0,41,Yes,No,Single,1,0
1209,Sales,Non-binary,30,PhD,Manager,10593.0,27,2,1,1,1,27,7,24,Yes,Yes,Divorced,9,3
1210,Sales,Female,30,High School,Executive,3792.0,36,8,1,1,5,70,5,22,No,Yes,Single,2,1
1211,Finance,Female,47,Bachelor's Degree,Manager,8993.0,8,6,1,3,5,13,10,48,No,No,Widowed,5,1
1212,Sales,Male,25,Bachelor's Degree,Analyst,3077.0,1,18,4,4,4,31,1,14,Yes,No,Single,3,0
1213,Finance,Prefer not to say,38,High School,Manager,7224.0,2,4,2,4,4,7,11,19,Yes,Yes,Widowed,9,1
1214,IT,Non-binary,37,Associate's Degree,Team Lead,5385.0,4,18,5,5,1,26,6,29,Yes,No,Single,7,0
1215,Finance,Male,36,High School,Executive,4419.0,9,9,5,5,1,49,3,22,Yes,Yes,Widowed,3,2
1216,Finance,Male,56,Associate's Degree,Executive,3950.0,27,19,3,1,2,58,2,30,No,No,Widowed,2,0
1217,Sales,Female,22,High School,Intern,1434.0,0,0,5,2,1,0,0,15,No,Yes,Single,1,0
1218,Sales,Non-binary,26,Associate's Degree,Analyst,2364.0,13,7,2,1,2,2,3,21,Yes,Yes,Married,5,1
1219,HR,Non-binary,41,Associate's Degree,Executive,2118.0,22,2,5,5,2,26,2,26,No,Yes,Married,9,0
1220,HR,Non-binary,36,High School,Team Lead,9348.0,12,18,4,5,1,93,8,36,Yes,Yes,Widowed,2,3
1221,IT,Female,39,Associate's Degree,Manager,9129.0,15,10,5,5,2,33,13,12,Yes,No,Married,2,1
1222,HR,Female,23,Master's Degree,Executive,2408.0,29,7,1,1,5,25,2,7,No,No,Single,8,1
1223,Finance,Female,50,PhD,Team Lead,6539.0,39,12,1,4,2,39,1,11,No,Yes,Widowed,3,1
1224,Sales,Female,34,Bachelor's Degree,Manager,9229.0,7,9,1,2,5,85,12,39,Yes,Yes,Divorced,3,1
1225,HR,Female,18,Associate's Degree,Intern,1248.0,0,0,1,2,5,0,0,20,Yes,Yes,Single,1,0
1226,HR,Prefer not to say,59,Associate's Degree,Executive,2362.0,29,11,4,5,5,40,10,35,Yes,No,Divorced,6,3
1227,IT,Prefer not to say,31,Bachelor's Degree,Executive,2957.0,16,6,4,3,3,1,0,4,No,No,Divorced,6,3
1228,IT,Non-binary,52,Associate's Degree,Team Lead,9163.0,34,10,4,1,3,71,4,2,Yes,No,Widowed,5,3
1229,Finance,Male,59,Bachelor's Degree,Analyst,3176.0,0,9,5,4,2,6,11,20,No,No,Divorced,4,0
